호선,역번호,출발역,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,25시
1호선,150,서울역,8,21.95,54.45,54.45,64.8,54.8,42.65,33.35,42,31.05,25.9,27.05,27.7,43.35,34.5,21.8,19.3,15.75,15.4,7.55,1.3
1호선,150,서울역,11.2,14.4,33.25,33.25,26.6,24.45,19.85,26.55,31.1,35.75,40.9,55.95,64.95,102.35,60.4,41.55,41.85,38.75,24.45,10.7,0
1호선,151,시청,6.7,16.8,42.25,42.25,51.95,45.85,39.9,30.9,38.95,29.65,26.6,28.45,30.8,52.2,42.9,25.6,23.65,19.55,18.8,8.6,1.3
1호선,151,시청,8.6,14.1,30.4,30.4,25.95,24,19.9,26.3,29.55,33.4,41.1,52.35,60,92.45,60.8,37.95,39.5,33.05,21.25,8.6,0.4
1호선,152,종각,6.1,12.35,25.95,25.95,36.5,36.45,35.8,29.2,35.5,31.45,30.05,32.8,37,66.2,53.25,31.75,32.3,26,25.4,10.15,1.2
1호선,152,종각,10.2,14.8,40.4,40.4,32.25,27.05,20.85,27.35,29.1,33.65,39.4,45.2,51.25,71.7,43.9,30.1,31.2,26.7,17.2,7.2,0.5
1호선,153,종로3가,5.6,12.6,26.05,26.05,36.55,36.5,36.8,30.85,39.2,33.5,33.45,36.95,42.25,72.85,59.1,34.35,36.2,29.55,29.1,11.25,1.2
1호선,153,종로3가,11.2,17.85,52.25,52.25,44.3,33.55,24.6,27.65,29.85,32.2,37.05,39.35,42.35,53.45,33.25,22,21.85,18.55,12.95,5.8,0.6
1호선,154,종로5가,5.1,9.35,19.3,19.3,29,29.25,31,28.45,34.75,31.05,34.3,35.25,41.6,73.3,66.2,34.7,37.8,34,27.55,12.8,2.7
1호선,154,종로5가,12.4,20.95,57.65,57.65,51.55,38.6,30.4,32.35,33.85,36.05,38.7,44.55,43.75,53.55,31.25,21.1,21.15,18,11.85,6.6,0.7
1호선,155,동대문,6.9,9.15,18.15,18.15,27.5,28,31.65,27.55,35.15,30.5,34.9,37.75,42.75,72.65,65.8,35.35,38.05,34.5,29.35,14.2,2.5
1호선,155,동대문,13.4,22.1,60.75,60.75,55.3,40.95,31,30.45,33.95,32.4,33.95,37.1,39.05,42.75,25.2,17.1,17.35,15,10.2,6.25,0.6
1호선,156,신설동,6.2,8.1,12.25,12.25,26,25.75,26.1,22.35,29.85,27.45,29.95,36.1,39.15,67.8,61.6,34.15,32.45,28.7,26.5,13.95,0
1호선,156,신설동,22.2,31,59.35,59.35,46.6,38.5,28.05,29.7,30.2,27.7,31.65,31.2,39.7,36.45,20.25,14.95,14.05,11.85,8.85,5.25,0.6
1호선,157,제기동,6.8,6.95,11.05,11.05,21.9,21.1,22.5,19.25,25,22.4,27,33.6,38.2,66.4,61.9,33.2,31.3,27.65,26,13.6,0
1호선,157,제기동,21.6,27.35,58.8,58.8,44.25,37.15,25.45,27.9,28.6,27.1,30.7,28.8,35.25,31.65,18.35,13.65,12.75,10.55,9.05,5.55,0.5
1호선,158,청량리,6.4,4.8,9.75,9.75,14.7,16.6,18.5,15.9,20.8,18.6,22.15,32.05,32.65,58.85,55.1,28.95,28.6,24.7,23.1,11.2,0
