역번호,역주변,호선,역명
150,서울역,1호선,서울역
150,남창동방면,1호선,서울역
150,서울시티투어버스 타는 곳,1호선,시청
150,경의선 서울역,1호선,시청
150,국민권익위원회,1호선,종각
150,역전우체국,1호선,종각
150,역전파출소,1호선,종로3가
150,남대문(숭례문),1호선,종로3가
150,봉래동1가,1호선,종로5가
150,남대문방면,1호선,종로5가
150,남대문시장,1호선,동대문
150,퇴계로방면,1호선,동대문
150,프랑스문화원,1호선,신설동
150,안전보건공단 서울북부지사,1호선,신설동
150,퇴계로,1호선,제기동
150,한국장학재단,1호선,제기동
150,한국공정거래조정원,1호선,청량리
150,서울로,1호선,청량리
150,문화역서울284,1호선,동묘앞
150,남대문시장,1호선,동묘앞
150,남산공원방면,2호선,시청
150,남대문경찰서,2호선,시청
150,서울스퀘어,2호선,을지로입구
150,한국주택금융공사,2호선,을지로입구
150,버스환승센터,2호선,을지로3가
150,남대문로5가,2호선,을지로3가
150,동자동,2호선,을지로4가
151,서울특별시청서소문별관,2호선,을지로4가
151,서울특별시 의회별관,2호선,동대문역사문화공원
151,창덕여중,2호선,동대문역사문화공원
151,이화여고,2호선,신당
151,서울중앙지방법원 중부등기소,2호선,신당
151,정동극장,2호선,상왕십리
151,서울특별시청서소문별관,2호선,상왕십리
151,서울특별시 의회별관,2호선,왕십리
151,덕수궁미술관,2호선,왕십리
151,정동극장,2호선,한양대
151,광화문방면,2호선,한양대
151,정부서울청사,2호선,뚝섬
151,세종문화회관,2호선,뚝섬
151,조선일보사,2호선,성수
151,미국대사관,2호선,성수
151,프레스센터,2호선,건대입구
151,서울신문사,2호선,건대입구
151,을지로방면,2호선,구의
151,소공동방면,2호선,구의
151, 남대문시장,2호선,강변
151, 한국은행본점,2호선,강변
151,경향신문사,2호선,잠실나루
151,서울시티투어 버스 타는곳,2호선,잠실나루
151,서울특별시의회,2호선,잠실
151,영국대사관,2호선,잠실
151,광화문우체국,2호선,잠실새내
151,동아일보사,2호선,잠실새내
151,서울특별시청,2호선,종합운동장
151,무교동,2호선,종합운동장
151,서울자유시민대학,2호선,삼성
151,소공동사무소,2호선,삼성
151, 북창동방면,2호선,선릉
151,서울시립미술관,2호선,선릉
151,서울시립미술관,2호선,역삼
151,서울역사박물관,2호선,역삼
151,서울중앙지방법원 중부등기소,2호선,강남
151,대한성공회,2호선,강남
151,서울시티투어 버스 타는곳,2호선,교대
151,덕수궁,2호선,교대
151,덕수궁미술관,2호선,서초
151,유관순기념관,2호선,서초
151,경향신문사,2호선,방배
151,덕수궁,2호선,방배
151,창덕여중,2호선,사당
152,서울 고용노동청,2호선,사당
152,국민건강보험공단 종로지사,2호선,낙성대
152,서울 고용복지플러스센터,2호선,낙성대
152,청계천 방면,2호선,서울대입구
152,서울글로벌센터,2호선,서울대입구
152,종로구청 ,2호선,봉천
152,광화문 ,2호선,봉천
152,종로소방서,2호선,신림
152,미국대사관,2호선,신림
152,안국동,2호선,신대방
152,조계사 ,2호선,신대방
152,인사동,2호선,구로디지털단지
152,보신각,2호선,구로디지털단지
152,광교,2호선,대림
152,무교동,2호선,대림
152,광화문 우체국 ,2호선,신도림
152,서울지방국세청,2호선,신도림
152,헌혈의집 광화문센터,2호선,문래
152,종로1.2.3.4가 동주민센터,2호선,문래
152,공평동,2호선,영등포구청
152,서울기독교 청년회 ,2호선,영등포구청
152,관철동,2호선,당산
152,한국관광공사 서울센터,2호선,당산
152,예금보험공사,2호선,합정
152,서린동 ,2호선,합정
153,종로2가 지구대,2호선,홍대입구
153,"종로1,2,3,4가동사무소",2호선,홍대입구
153,낙원상가,2호선,신촌(지하)
153,창덕궁,2호선,신촌(지하)
153,창덕궁,2호선,이대
153,종로3가파출소,2호선,이대
153,종로3가소방파출소,2호선,아현
153,종묘,2호선,아현
153,종묘시민공원,2호선,충정로
153,청계천3가,2호선,충정로
153,서울청소년수련관,2호선,용답
153,기업은행,2호선,용답
153,탑골공원,2호선,신답
153,종로2가 우체국,2호선,신답
153,돈의동,2호선,신설동
153,인사동방면,2호선,신설동
153,인사동방면,2호선,도림천
153,종로4가,2호선,도림천
153,세운상가,2호선,양천구청
153,대림상가,2호선,양천구청
153,장사동,2호선,신정네거리
153,기계공구상가,2호선,신정네거리
153,청계천3가,2호선,용두
153,관수동,2호선,용두
153,종로2가,2호선,까치산
154,청계천 5가,2호선,까치산
154,종로5가파출소,2호선,성수E
154,종로4가 방면,2호선,성수E
154,예지동,2호선,성수
154,종로4가 방면,2호선,성수
154,종로5가우체국,2호선,신도림
154,서울특별시선거관리위원회,2호선,신도림
154,중부교육청,3호선,지축
154,효제동,3호선,지축
154,종로6가,3호선,구파발
154,동대문 시장,3호선,구파발
154,평화 시장,3호선,연신내
154,서울신용보증재단,3호선,연신내
154,"종로5,6가동 주민센터",3호선,불광
154,서울보증보험,3호선,불광
154,삼양빌딩,3호선,녹번
154,방산시장,3호선,녹번
154,동대문방면,3호선,홍제
154,혜화경찰서 ,3호선,홍제
154,효제초등학교,3호선,무악재
154,동대문방면,3호선,무악재
154, 효제동,3호선,독립문
154,종로6가,3호선,독립문
154,청계천 5가,3호선,경복궁
154,동대문 시장,3호선,경복궁
154,광장시장,3호선,안국
154,광장시장,3호선,안국
155,창신2동,3호선,종로3가
155,율곡로 방면,3호선,종로3가
155,창신동,3호선,을지로3가
155,숭인동,3호선,을지로3가
155,창신2동사무소,3호선,충무로
155,창신초등학교,3호선,충무로
155,기업은행,3호선,동대입구
155,종로구민회관,3호선,동대입구
155,종로구 시설관리공단,3호선,약수
155,신설동,3호선,약수
155,창신1동사무소,3호선,금호
155,숭신초등학교,3호선,금호
155,문구·완구 도매상가,3호선,옥수
155,청 계 천,3호선,옥수
155,동대문,3호선,압구정
155,평화·흥인시장,3호선,압구정
155,동문시장,3호선,신사
155,청계천 6가,3호선,신사
155,청 계 천,3호선,잠원
155,동대문,3호선,잠원
155,동대문종합상가,3호선,고속터미널
155,평화·흥인시장,3호선,고속터미널
155,동문시장,3호선,교대
155,서울관광안내소,3호선,교대
155,동대문운동장,3호선,남부터미널
155,종로5가,3호선,남부터미널
155,동대문,3호선,양재
155,덕산 파출소,3호선,양재
155,창신동,3호선,매봉
155,중앙시장,3호선,매봉
156,대광중.고교,3호선,도곡
156,보문동방면,3호선,도곡
156,신설 치안센터,3호선,대치
156,용두동 방면,3호선,대치
156,용두시장,3호선,학여울
156,용두초등학교,3호선,학여울
156,기업은행 ,3호선,대청
156,동대문 고용 안정 센터,3호선,대청
156,보문동 방면,3호선,일원
156,용두동 방면,3호선,일원
156,대광초등학교,3호선,수서
156,대광중.고교,3호선,수서
156,제기동 방면,3호선,가락시장
156,한국의류시험연구원,3호선,가락시장
156,동대문 우체국,3호선,경찰병원
156,국민연금동대문중랑지사,3호선,경찰병원
156,동대문방면,3호선,오금
156,동대문 우체국,3호선,오금
156,용두동,4호선,불암산
156,청계천방면,4호선,불암산
156,동대문 도서관,4호선,상계
156,용두2동,4호선,상계
157,고려대학교,4호선,노원
157,성일중학교,4호선,노원
157,용두시장,4호선,창동
157,"미주,현대,공성아파트",4호선,창동
157,종암초등학교,4호선,쌍문
157,경동시장,4호선,쌍문
157,마장동,4호선,수유
157,동대문구청,4호선,수유
157,용두동 ,4호선,미아
157,정릉천,4호선,미아
157,용두 치안센터,4호선,미아사거리
157,동대문종합사회복지관,4호선,미아사거리
157,선농단,4호선,길음
157,청량리 방면,4호선,길음
157,정릉천,4호선,성신여대입구
157,신설동 방면,4호선,성신여대입구
157,용두 초등학교,4호선,한성대입구
157,용신동 주민센터,4호선,한성대입구
157,서울약령시장,4호선,혜화
158,경동. 동서시장,4호선,혜화
158,서울 청량리 우체국,4호선,동대문
158,동대문 세무서,4호선,동대문
158,미주아파트,4호선,동대문역사문화공원
158,청량리 역광장,4호선,동대문역사문화공원
158,청량리수산시장,4호선,충무로
158,버스환승센터,4호선,충무로
158,서울시립동대문청소년수련관,4호선,명동
158,롯데백화점,4호선,명동
158,제기동방면,4호선,회현
158,홍릉(영휘원)방면,4호선,회현
158,동대문경찰서,4호선,서울역
158,기업은행 청량리지점,4호선,서울역
158,동대문노인종합복지관,4호선,숙대입구
158,용두동,4호선,숙대입구
159,종로산업정보학교,4호선,삼각지
159,동묘파출소,4호선,삼각지
159,숭인 119안전센터,4호선,신용산
159,서울직업전문학교,4호선,신용산
159,숭인2동 주민센터,4호선,이촌
159,종로구 보건소 동부진료소,4호선,이촌
159,창신1동 주민센터,4호선,동작
159,숭신초등학교,4호선,동작
159,창신초등학교,4호선,총신대입구
201,창덕여중,4호선,총신대입구
